krx_isu_cd,company_name,stock_code,market,is_financial_distress,pattern,category,dart_candidate_names
40676,하나금융21호스팩,406760,코스닥,False,B,0_non_distress,하나금융21호기업인수목적
40957,한국제10호스팩,409570,코스닥,False,B,0_non_distress,한국제10호기업인수목적
41293,미래에셋비전스팩1호,412930,코스닥,False,B,0_non_distress,미래에셋비전기업인수목적1호
41360,키움제6호스팩,413600,코스닥,False,B,0_non_distress,키움제6호기업인수목적
41558,상상인제3호스팩,415580,코스닥,True,B,1_notation_diff,상상인제3호기업인수목적
41817,하나금융22호스팩,418170,코스닥,False,B,0_non_distress,하나금융22호기업인수목적
41821,신한제10호스팩,418210,코스닥,True,B,1_notation_diff,신한제10호기업인수목적
41927,신영스팩7호,419270,코스닥,False,B,0_non_distress,신영해피투모로우제7호기업인수목적
41970,이브이파킹서비스,419700,코넥스,True,C,,
42180,교보12호스팩,421800,코스닥,False,B,0_non_distress,교보12호기업인수목적
42204,엔에이치스팩23호,422040,코스닥,True,B,1_notation_diff,엔에이치기업인수목적23호
42414,케이비제21호스팩,424140,코스닥,True,B,1_notation_diff,케이비제21호기업인수목적
42529,삼성스팩6호,425290,코스닥,True,B,1_notation_diff,삼성기업인수목적6호
42655,IBKS제19호스팩,426550,코스닥,False,B,0_non_distress,아이비케이에스제19호기업인수목적
42667,대신밸런스제12호스팩,426670,코스닥,False,B,0_non_distress,대신밸런스제12호기업인수목적
42795,하나금융23호스팩,427950,코스닥,False,B,0_non_distress,하나금융23호기업인수목적
43022,신영스팩8호,430220,코스닥,False,B,0_non_distress,신영해피투모로우제8호기업인수목적
43023,하나금융24호스팩,430230,코스닥,False,B,0_non_distress,하나금융24호기업인수목적
43046,한화플러스제3호스팩,430460,코스닥,False,B,0_non_distress,한화플러스제3호기업인수목적
43070,유안타제9호스팩,430700,코스닥,True,B,1_notation_diff,유안타제9호기업인수목적
43353,키움제7호스팩,433530,코스닥,False,B,0_non_distress,키움제7호기업인수목적
43538,유안타제10호스팩,435380,코스닥,True,B,1_notation_diff,유안타제10호기업인수목적
43562,하나금융25호스팩,435620,코스닥,True,B,1_notation_diff,하나금융25호기업인수목적
43587,SK증권제8호스팩,435870,코스닥,True,B,1_notation_diff,에스케이증권제8호기업인수목적
43653,케이비제22호스팩,436530,코스닥,False,B,0_non_distress,케이비제22호기업인수목적
43661,한국제11호스팩,436610,코스닥,False,B,0_non_distress,한국제11호기업인수목적
43778,엔에이치스팩24호,437780,코스닥,True,B,1_notation_diff,엔에이치기업인수목적24호
43822,대신밸런스제13호스팩,438220,코스닥,False,B,0_non_distress,대신밸런스제13호기업인수목적
43858,엔에이치스팩25호,438580,코스닥,True,B,1_notation_diff,엔에이치기업인수목적25호
43925,삼성스팩7호,439250,코스닥,True,B,1_notation_diff,삼성기업인수목적7호
43941,엔에이치스팩26호,439410,코스닥,True,B,1_notation_diff,엔에이치기업인수목적26호
43973,IBKS제20호스팩,439730,코스닥,True,B,1_notation_diff,아이비케이에스제20호기업인수목적
44020,케이비제23호스팩,440200,코스닥,False,B,0_non_distress,케이비제23호기업인수목적
44079,교보13호스팩,440790,코스닥,True,B,1_notation_diff,교보13호기업인수목적
44082,엔에이치스팩27호,440820,코스닥,True,B,1_notation_diff,엔에이치기업인수목적27호
44213,유진스팩9호,442130,코스닥,True,B,1_notation_diff,유진기업인수목적9호
44231,대신밸런스제14호스팩,442310,코스닥,True,B,1_notation_diff,대신밸런스제14호기업인수목적
44277,IBKS제21호스팩,442770,코스닥,False,B,0_non_distress,아이비케이에스제21호기업인수목적
44290,미래에셋드림스팩1호,442900,코스닥,True,B,1_notation_diff,미래에셋드림기업인수목적1호
44492,유안타제11호스팩,444920,코스닥,True,B,1_notation_diff,유안타제11호기업인수목적
44536,비엔케이제1호스팩,445360,코스닥,True,B,1_notation_diff,비엔케이제1호기업인수목적
44597,신영스팩9호,445970,코스닥,True,B,1_notation_diff,신영해피투모로우제9호기업인수목적
44615,유안타제12호스팩,446150,코스닥,True,B,1_notation_diff,유안타제12호기업인수목적
44619,미래에셋비전스팩2호,446190,코스닥,False,B,0_non_distress,미래에셋비전기업인수목적2호
44660,카이바이오텍,446600,코넥스,True,C,,
44675,하나26호스팩,446750,코스닥,True,B,1_notation_diff,하나26호기업인수목적
44837,하나27호스팩,448370,코스닥,True,B,1_notation_diff,하나27호기업인수목적
44874,삼성스팩8호,448740,코스닥,True,B,1_notation_diff,삼성기업인수목적8호
44876,IBKS제22호스팩,448760,코스닥,False,B,0_non_distress,아이비케이에스제22호기업인수목적
44883,미래에셋비전스팩3호,448830,코스닥,False,B,0_non_distress,미래에셋비전기업인수목적3호
44890,한국피아이엠,448900,코넥스,False,C,,
44902,유안타제13호스팩,449020,코스닥,True,B,1_notation_diff,유안타제13호기업인수목적
45005,하이제8호스팩,450050,코스닥,True,B,1_notation_diff,하이제8호기업인수목적
45014,코오롱모빌리티그룹,450140,유가증권,False,C,,
45041,엔에이치스팩28호,450410,코스닥,False,B,0_non_distress,엔에이치기업인수목적28호
45094,유안타제14호스팩,450940,코스닥,True,B,1_notation_diff,유안타제14호기업인수목적
45170,엔에이치스팩29호,451700,코스닥,False,B,0_non_distress,엔에이치기업인수목적29호
45267,상상인제4호스팩,452670,코스닥,True,B,1_notation_diff,상상인제4호기업인수목적
45298,신한제11호스팩,452980,코스닥,True,B,1_notation_diff,신한제11호기업인수목적
